County,State,Year,Force,Employed,Unemployed,(%)
Gasconade County,MO,2018,"7,752","7,527",225,2.9
Gentry County,MO,2018,"3,584","3,497",87,2.4
Greene County,MO,2018,"148,502","144,715","3,787",2.6
Grundy County,MO,2018,"4,536","4,372",164,3.6
Harrison County,MO,2018,"3,828","3,710",118,3.1
Henry County,MO,2018,"9,795","9,446",349,3.6
Hickory County,MO,2018,"3,834","3,676",158,4.1
Holt County,MO,2018,"2,644","2,581",63,2.4
Howard County,MO,2018,"4,973","4,832",141,2.8
Howell County,MO,2018,"16,233","15,653",580,3.6
Iron County,MO,2018,"3,544","3,353",191,5.4
Jackson County,MO,2018,"363,146","349,588","13,558",3.7
Jasper County,MO,2018,"56,624","55,069","1,555",2.7
Jefferson County,MO,2018,"116,200","112,580","3,620",3.1
Johnson County,MO,2018,"22,777","21,933",844,3.7
Knox County,MO,2018,"1,922","1,868",54,2.8
Laclede County,MO,2018,"16,785","16,165",620,3.7
Lafayette County,MO,2018,"16,991","16,446",545,3.2
Lawrence County,MO,2018,"18,100","17,548",552,3
Lewis County,MO,2018,"5,099","4,954",145,2.8
Lincoln County,MO,2018,"27,367","26,463",904,3.3
Linn County,MO,2018,"5,133","4,892",241,4.7
Livingston County,MO,2018,"7,500","7,313",187,2.5
McDonald County,MO,2018,"10,507","10,188",319,3
Macon County,MO,2018,"7,661","7,436",225,2.9
Madison County,MO,2018,"5,464","5,270",194,3.6
Maries County,MO,2018,"3,874","3,746",128,3.3
Marion County,MO,2018,"14,450","14,003",447,3.1
Mercer County,MO,2018,"1,910","1,850",60,3.1
Miller County,MO,2018,"12,112","11,669",443,3.7
Mississippi County,MO,2018,"5,937","5,710",227,3.8
Moniteau County,MO,2018,"7,223","7,007",216,3
Monroe County,MO,2018,"3,960","3,819",141,3.6
Montgomery County,MO,2018,"5,693","5,529",164,2.9
Morgan County,MO,2018,"7,945","7,606",339,4.3
New Madrid County,MO,2018,"8,046","7,662",384,4.8
Newton County,MO,2018,"27,232","26,411",821,3
Nodaway County,MO,2018,"10,650","10,338",312,2.9
Oregon County,MO,2018,"3,936","3,800",136,3.5
Osage County,MO,2018,"6,996","6,827",169,2.4
Ozark County,MO,2018,"3,461","3,282",179,5.2
Pemiscot County,MO,2018,"6,349","5,997",352,5.5
Perry County,MO,2018,"10,173","9,935",238,2.3
Pettis County,MO,2018,"20,716","19,859",857,4.1
Phelps County,MO,2018,"19,662","19,056",606,3.1
Pike County,MO,2018,"7,674","7,397",277,3.6
Platte County,MO,2018,"57,812","56,330","1,482",2.6
Polk County,MO,2018,"14,329","13,806",523,3.6
Pulaski County,MO,2018,"14,629","14,103",526,3.6
Putnam County,MO,2018,"2,440","2,356",84,3.4
Ralls County,MO,2018,"5,618","5,460",158,2.8
Randolph County,MO,2018,"10,257","9,863",394,3.8
Ray County,MO,2018,"11,048","10,651",397,3.6
Reynolds County,MO,2018,"3,039","2,945",94,3.1
Ripley County,MO,2018,"5,129","4,862",267,5.2
St. Charles County,MO,2018,"221,947","216,310","5,637",2.5
St. Clair County,MO,2018,"3,781","3,616",165,4.4
Ste. Genevieve County,MO,2018,"9,195","8,938",257,2.8
St. Francois County,MO,2018,"26,504","25,535",969,3.7
St. Louis County,MO,2018,"525,125","509,324","15,801",3
Saline County,MO,2018,"10,732","10,406",326,3
Schuyler County,MO,2018,"1,977","1,895",82,4.1
Scotland County,MO,2018,"2,380","2,312",68,2.9
Scott County,MO,2018,"20,017","19,333",684,3.4
Shannon County,MO,2018,"3,241","3,079",162,5
Shelby County,MO,2018,"3,018","2,926",92,3
Stoddard County,MO,2018,"13,090","12,509",581,4.4
Stone County,MO,2018,"13,763","13,119",644,4.7
Sullivan County,MO,2018,"2,811","2,723",88,3.1
Taney County,MO,2018,"26,828","25,433","1,395",5.2
Texas County,MO,2018,"9,043","8,673",370,4.1
Vernon County,MO,2018,"9,557","9,256",301,3.1
Warren County,MO,2018,"17,560","17,067",493,2.8
Washington County,MO,2018,"10,205","9,752",453,4.4
Wayne County,MO,2018,"5,322","5,064",258,4.8
Webster County,MO,2018,"16,916","16,391",525,3.1
Worth County,MO,2018,"1,193","1,159",34,2.8
Wright County,MO,2018,"7,425","7,118",307,4.1
St. Louis city,MO,2018,"153,678","147,800","5,878",3.8
Beaverhead County,MT,2018,"5,043","4,885",158,3.1
Big Horn County,MT,2018,"5,098","4,609",489,9.6
Blaine County,MT,2018,"2,291","2,193",98,4.3
Broadwater County,MT,2018,"2,628","2,524",104,4
Carbon County,MT,2018,"5,487","5,294",193,3.5
Carter County,MT,2018,672,655,17,2.5
Cascade County,MT,2018,"37,848","36,486","1,362",3.6
Chouteau County,MT,2018,"2,481","2,406",75,3
Custer County,MT,2018,"6,068","5,880",188,3.1
Daniels County,MT,2018,881,862,19,2.2
Dawson County,MT,2018,"4,639","4,513",126,2.7
Deer Lodge County,MT,2018,"5,143","4,960",183,3.6
Fallon County,MT,2018,"1,704","1,672",32,1.9
Fergus County,MT,2018,"5,779","5,564",215,3.7
Flathead County,MT,2018,"47,793","45,504","2,289",4.8
Gallatin County,MT,2018,"66,429","64,755","1,674",2.5
Garfield County,MT,2018,738,718,20,2.7
Glacier County,MT,2018,"5,713","5,268",445,7.8
Golden Valley County,MT,2018,369,352,17,4.6
Granite County,MT,2018,"1,675","1,585",90,5.4
Hill County,MT,2018,"7,613","7,339",274,3.6
Jefferson County,MT,2018,"5,630","5,414",216,3.8
Judith Basin County,MT,2018,920,889,31,3.4
Lake County,MT,2018,"13,135","12,572",563,4.3
Lewis and Clark County,MT,2018,"35,455","34,277","1,178",3.3
Liberty County,MT,2018,964,940,24,2.5
Lincoln County,MT,2018,"8,060","7,465",595,7.4
McCone County,MT,2018,980,962,18,1.8
Madison County,MT,2018,"4,488","4,329",159,3.5
Meagher County,MT,2018,955,918,37,3.9
Mineral County,MT,2018,"1,718","1,595",123,7.2
Missoula County,MT,2018,"63,069","60,969","2,100",3.3
Musselshell County,MT,2018,"2,267","2,170",97,4.3
Park County,MT,2018,"8,822","8,484",338,3.8
Petroleum County,MT,2018,287,275,12,4.2
Phillips County,MT,2018,"1,918","1,831",87,4.5
Pondera County,MT,2018,"2,712","2,602",110,4.1
Powder River County,MT,2018,971,943,28,2.9
Powell County,MT,2018,"2,880","2,761",119,4.1
Prairie County,MT,2018,492,474,18,3.7
Ravalli County,MT,2018,"19,913","19,078",835,4.2
Richland County,MT,2018,"5,889","5,709",180,3.1
Roosevelt County,MT,2018,"4,461","4,257",204,4.6
Rosebud County,MT,2018,"3,893","3,687",206,5.3
Sanders County,MT,2018,"4,765","4,461",304,6.4
Sheridan County,MT,2018,"1,769","1,727",42,2.4
Silver Bow County,MT,2018,"17,238","16,546",692,4
Stillwater County,MT,2018,"4,932","4,764",168,3.4
Sweet Grass County,MT,2018,"1,772","1,718",54,3
Teton County,MT,2018,"2,702","2,611",91,3.4
Toole County,MT,2018,"2,120","2,064",56,2.6
Treasure County,MT,2018,337,327,10,3
Valley County,MT,2018,"4,129","4,003",126,3.1
Wheatland County,MT,2018,782,743,39,5
Wibaux County,MT,2018,464,448,16,3.4
Yellowstone County,MT,2018,"81,269","78,554","2,715",3.3
Adams County,NE,2018,"16,547","16,072",475,2.9
Antelope County,NE,2018,"3,574","3,489",85,2.4
Arthur County,NE,2018,219,208,11,5
Banner County,NE,2018,381,368,13,3.4
Blaine County,NE,2018,262,250,12,4.6
Boone County,NE,2018,"2,922","2,857",65,2.2
Box Butte County,NE,2018,"5,399","5,250",149,2.8
Boyd County,NE,2018,"1,083","1,051",32,3
Brown County,NE,2018,"1,392","1,346",46,3.3
Buffalo County,NE,2018,"27,695","27,046",649,2.3
Burt County,NE,2018,"3,465","3,349",116,3.3
Butler County,NE,2018,"4,533","4,428",105,2.3
Cass County,NE,2018,"13,275","12,882",393,3
Cedar County,NE,2018,"4,459","4,355",104,2.3
Chase County,NE,2018,"2,268","2,219",49,2.2
Cherry County,NE,2018,"3,375","3,303",72,2.1
Cheyenne County,NE,2018,"4,731","4,598",133,2.8
Clay County,NE,2018,"3,239","3,139",100,3.1
Colfax County,NE,2018,"5,556","5,427",129,2.3
Cuming County,NE,2018,"4,713","4,597",116,2.5
Custer County,NE,2018,"6,425","6,289",136,2.1
Dakota County,NE,2018,"10,777","10,404",373,3.5
Dawes County,NE,2018,"5,040","4,905",135,2.7
Dawson County,NE,2018,"12,934","12,578",356,2.8
Deuel County,NE,2018,974,945,29,3
Dixon County,NE,2018,"3,046","2,955",91,3
Dodge County,NE,2018,"19,361","18,832",529,2.7
Douglas County,NE,2018,"293,923","284,929","8,994",3.1
Dundy County,NE,2018,"1,161","1,135",26,2.2
Fillmore County,NE,2018,"3,159","3,081",78,2.5
Franklin County,NE,2018,"1,468","1,424",44,3
Frontier County,NE,2018,"1,506","1,468",38,2.5
Furnas County,NE,2018,"2,627","2,560",67,2.6
Gage County,NE,2018,"10,916","10,571",345,3.2
Garden County,NE,2018,"1,192","1,164",28,2.3
Garfield County,NE,2018,"1,173","1,145",28,2.4
Gosper County,NE,2018,"1,064","1,037",27,2.5
Grant County,NE,2018,416,405,11,2.6
Greeley County,NE,2018,"1,214","1,182",32,2.6
Hall County,NE,2018,"31,628","30,629",999,3.2
Hamilton County,NE,2018,"4,682","4,566",116,2.5
Harlan County,NE,2018,"1,772","1,731",41,2.3
Hayes County,NE,2018,595,582,13,2.2
Hitchcock County,NE,2018,"1,252","1,210",42,3.4
Holt County,NE,2018,"5,725","5,579",146,2.6
Hooker County,NE,2018,401,386,15,3.7
Howard County,NE,2018,"3,316","3,216",100,3
Jefferson County,NE,2018,"4,155","4,052",103,2.5
Johnson County,NE,2018,"2,074","2,000",74,3.6
Kearney County,NE,2018,"3,743","3,666",77,2.1
Keith County,NE,2018,"4,548","4,412",136,3
Keya Paha County,NE,2018,586,573,13,2.2
Kimball County,NE,2018,"2,016","1,963",53,2.6
Knox County,NE,2018,"4,635","4,494",141,3
Lancaster County,NE,2018,"173,384","168,976","4,408",2.5
Lincoln County,NE,2018,"18,306","17,763",543,3
Logan County,NE,2018,469,456,13,2.8
Loup County,NE,2018,395,383,12,3
McPherson County,NE,2018,440,429,11,2.5
Madison County,NE,2018,"19,398","18,914",484,2.5
Merrick County,NE,2018,"4,053","3,940",113,2.8
Morrill County,NE,2018,"2,599","2,530",69,2.7
Nance County,NE,2018,"2,026","1,977",49,2.4
Nemaha County,NE,2018,"3,608","3,484",124,3.4
Nuckolls County,NE,2018,"2,388","2,325",63,2.6
Otoe County,NE,2018,"8,134","7,904",230,2.8
Pawnee County,NE,2018,"1,472","1,435",37,2.5
Perkins County,NE,2018,"1,808","1,773",35,1.9
Phelps County,NE,2018,"4,903","4,793",110,2.2
Pierce County,NE,2018,"4,089","3,983",106,2.6
Platte County,NE,2018,"17,328","16,870",458,2.6
Polk County,NE,2018,"2,902","2,834",68,2.3
Red Willow County,NE,2018,"5,826","5,689",137,2.4
Richardson County,NE,2018,"4,231","4,105",126,3
Rock County,NE,2018,906,884,22,2.4
Saline County,NE,2018,"7,441","7,217",224,3
Sarpy County,NE,2018,"94,057","91,558","2,499",2.7
Saunders County,NE,2018,"10,948","10,650",298,2.7
Scotts Bluff County,NE,2018,"18,422","17,831",591,3.2
Seward County,NE,2018,"8,730","8,505",225,2.6
Sheridan County,NE,2018,"2,690","2,621",69,2.6
Sherman County,NE,2018,"1,701","1,656",45,2.6
Sioux County,NE,2018,743,724,19,2.6
Stanton County,NE,2018,"3,468","3,383",85,2.5
Thayer County,NE,2018,"2,866","2,802",64,2.2
Thomas County,NE,2018,440,427,13,3
Thurston County,NE,2018,"2,968","2,848",120,4
Valley County,NE,2018,"2,084","2,024",60,2.9
Washington County,NE,2018,"11,209","10,894",315,2.8
Wayne County,NE,2018,"5,665","5,529",136,2.4
Webster County,NE,2018,"1,645","1,599",46,2.8
Wheeler County,NE,2018,562,548,14,2.5
York County,NE,2018,"7,309","7,127",182,2.5
Churchill County,NV,2018,"11,214","10,778",436,3.9
Clark County,NV,2018,"1,098,114","1,045,471","52,643",4.8
Douglas County,NV,2018,"22,882","21,889",993,4.3
Elko County,NV,2018,"27,148","26,260",888,3.3
Esmeralda County,NV,2018,433,412,21,4.8
Eureka County,NV,2018,"1,064","1,035",29,2.7
Humboldt County,NV,2018,"8,170","7,894",276,3.4
Lander County,NV,2018,"3,151","3,034",117,3.7
Lincoln County,NV,2018,"2,088","1,995",93,4.5
Lyon County,NV,2018,"22,467","21,255","1,212",5.4
Mineral County,NV,2018,"1,929","1,823",106,5.5
Nye County,NV,2018,"16,801","15,841",960,5.7
Pershing County,NV,2018,"2,586","2,480",106,4.1
Storey County,NV,2018,"2,005","1,916",89,4.4
Washoe County,NV,2018,"250,005","240,941","9,064",3.6
White Pine County,NV,2018,"4,604","4,434",170,3.7
Carson City,NV,2018,"25,718","24,502","1,216",4.7
Belknap County,NH,2018,"31,291","30,503",788,2.5
Carroll County,NH,2018,"23,607","23,009",598,2.5
Cheshire County,NH,2018,"41,020","39,990","1,030",2.5
Coos County,NH,2018,"14,606","14,139",467,3.2
Grafton County,NH,2018,"49,592","48,560","1,032",2.1
Hillsborough County,NH,2018,"236,915","230,692","6,223",2.6
Merrimack County,NH,2018,"82,759","80,927","1,832",2.2
Rockingham County,NH,2018,"185,379","180,279","5,100",2.8
Strafford County,NH,2018,"73,309","71,633","1,676",2.3
Sullivan County,NH,2018,"23,272","22,779",493,2.1
Atlantic County,NJ,2018,"118,969","111,968","7,001",5.9
Bergen County,NJ,2018,"472,001","455,773","16,228",3.4
Burlington County,NJ,2018,"227,445","218,877","8,568",3.8
Camden County,NJ,2018,"249,945","238,357","11,588",4.6
Cape May County,NJ,2018,"45,785","41,945","3,840",8.4
Cumberland County,NJ,2018,"64,289","60,128","4,161",6.5
Essex County,NJ,2018,"364,346","345,495","18,851",5.2
Gloucester County,NJ,2018,"147,175","140,940","6,235",4.2
Hudson County,NJ,2018,"357,639","343,787","13,852",3.9
Hunterdon County,NJ,2018,"63,020","60,971","2,049",3.3
Mercer County,NJ,2018,"196,494","189,277","7,217",3.7
Middlesex County,NJ,2018,"435,053","419,262","15,791",3.6
Monmouth County,NJ,2018,"323,106","311,236","11,870",3.7
Morris County,NJ,2018,"252,984","244,696","8,288",3.3
Ocean County,NJ,2018,"266,971","255,456","11,515",4.3
Passaic County,NJ,2018,"239,206","227,001","12,205",5.1
Salem County,NJ,2018,"28,795","27,226","1,569",5.4
Somerset County,NJ,2018,"169,129","163,318","5,811",3.4
Sussex County,NJ,2018,"72,560","69,689","2,871",4
Union County,NJ,2018,"272,683","260,935","11,748",4.3
Warren County,NJ,2018,"55,348","53,230","2,118",3.8
Bernalillo County,NM,2018,"329,380","314,530","14,850",4.5
Catron County,NM,2018,"1,117","1,045",72,6.4
Chaves County,NM,2018,"27,137","25,818","1,319",4.9
Cibola County,NM,2018,"8,927","8,366",561,6.3
Colfax County,NM,2018,"5,480","5,209",271,4.9
Curry County,NM,2018,"21,629","20,751",878,4.1
De Baca County,NM,2018,768,733,35,4.6
Dona Ana County,NM,2018,"96,769","91,299","5,470",5.7
Eddy County,NM,2018,"31,376","30,331","1,045",3.3
Grant County,NM,2018,"12,248","11,647",601,4.9
Guadalupe County,NM,2018,"1,624","1,534",90,5.5
Harding County,NM,2018,283,268,15,5.3
Hidalgo County,NM,2018,"2,190","2,106",84,3.8
Lea County,NM,2018,"29,873","28,642","1,231",4.1
Lincoln County,NM,2018,"8,702","8,306",396,4.6
Los Alamos County,NM,2018,"9,098","8,790",308,3.4
Luna County,NM,2018,"10,107","8,904","1,203",11.9
McKinley County,NM,2018,"23,810","22,111","1,699",7.1
Mora County,NM,2018,"2,266","2,127",139,6.1
Otero County,NM,2018,"24,601","23,398","1,203",4.9
Quay County,NM,2018,"3,202","3,047",155,4.8
Rio Arriba County,NM,2018,"16,670","15,802",868,5.2
Roosevelt County,NM,2018,"7,875","7,533",342,4.3
Sandoval County,NM,2018,"64,633","61,416","3,217",5
San Juan County,NM,2018,"52,537","49,508","3,029",5.8
San Miguel County,NM,2018,"10,939","10,289",650,5.9
Santa Fe County,NM,2018,"73,974","70,909","3,065",4.1
Sierra County,NM,2018,"4,097","3,808",289,7.1
Socorro County,NM,2018,"6,455","6,112",343,5.3
Taos County,NM,2018,"14,985","14,010",975,6.5
Torrance County,NM,2018,"5,603","5,176",427,7.6
Union County,NM,2018,"1,773","1,714",59,3.3
Valencia County,NM,2018,"30,234","28,584","1,650",5.5
Albany County,NY,2018,"158,835","152,991","5,844",3.7
Allegany County,NY,2018,"19,461","18,365","1,096",5.6
Bronx County,NY,2018,"605,864","571,545","34,319",5.7
Broome County,NY,2018,"84,592","80,477","4,115",4.9
Cattaraugus County,NY,2018,"34,020","32,200","1,820",5.3
Cayuga County,NY,2018,"35,954","34,344","1,610",4.5
Chautauqua County,NY,2018,"54,993","52,227","2,766",5
Chemung County,NY,2018,"35,373","33,724","1,649",4.7
Chenango County,NY,2018,"22,416","21,369","1,047",4.7
Clinton County,NY,2018,"36,428","34,831","1,597",4.4
Columbia County,NY,2018,"31,426","30,383","1,043",3.3
Cortland County,NY,2018,"22,927","21,762","1,165",5.1
Delaware County,NY,2018,"19,244","18,316",928,4.8
Dutchess County,NY,2018,"143,934","138,629","5,305",3.7
Erie County,NY,2018,"443,446","423,872","19,574",4.4
Essex County,NY,2018,"17,078","16,244",834,4.9
Franklin County,NY,2018,"19,647","18,633","1,014",5.2
Fulton County,NY,2018,"22,877","21,711","1,166",5.1
Genesee County,NY,2018,"29,796","28,551","1,245",4.2
Greene County,NY,2018,"20,735","19,800",935,4.5
Hamilton County,NY,2018,"2,296","2,139",157,6.8
Herkimer County,NY,2018,"27,990","26,616","1,374",4.9
Jefferson County,NY,2018,"44,691","42,181","2,510",5.6
Kings County,NY,2018,"1,211,721","1,160,501","51,220",4.2
Lewis County,NY,2018,"11,677","11,030",647,5.5
Livingston County,NY,2018,"30,827","29,494","1,333",4.3
Madison County,NY,2018,"32,630","31,066","1,564",4.8
Monroe County,NY,2018,"362,858","347,399","15,459",4.3
Montgomery County,NY,2018,"22,436","21,281","1,155",5.1
Nassau County,NY,2018,"707,875","682,848","25,027",3.5
New York County,NY,2018,"919,101","885,351","33,750",3.7
Niagara County,NY,2018,"99,138","93,941","5,197",5.2
Oneida County,NY,2018,"101,729","97,231","4,498",4.4
Onondaga County,NY,2018,"220,771","211,945","8,826",4
Ontario County,NY,2018,"55,149","52,977","2,172",3.9
Orange County,NY,2018,"182,241","175,086","7,155",3.9
Orleans County,NY,2018,"17,616","16,746",870,4.9
Oswego County,NY,2018,"52,824","49,932","2,892",5.5
Otsego County,NY,2018,"28,170","26,945","1,225",4.3
Putnam County,NY,2018,"51,085","49,199","1,886",3.7
Queens County,NY,2018,"1,162,225","1,120,459","41,766",3.6
Rensselaer County,NY,2018,"81,358","78,192","3,166",3.9
Richmond County,NY,2018,"220,621","211,509","9,112",4.1
Rockland County,NY,2018,"154,676","148,901","5,775",3.7
St. Lawrence County,NY,2018,"43,515","41,067","2,448",5.6
Saratoga County,NY,2018,"118,982","114,795","4,187",3.5
Schenectady County,NY,2018,"76,303","73,240","3,063",4
Schoharie County,NY,2018,"14,774","14,062",712,4.8
Schuyler County,NY,2018,"8,268","7,845",423,5.1
Seneca County,NY,2018,"16,087","15,465",622,3.9
Steuben County,NY,2018,"42,816","40,710","2,106",4.9
Suffolk County,NY,2018,"777,784","747,832","29,952",3.9
Sullivan County,NY,2018,"35,947","34,475","1,472",4.1
Tioga County,NY,2018,"22,772","21,773",999,4.4
Tompkins County,NY,2018,"50,112","48,283","1,829",3.6
Ulster County,NY,2018,"88,712","85,260","3,452",3.9
Warren County,NY,2018,"31,709","30,236","1,473",4.6
Washington County,NY,2018,"28,164","26,999","1,165",4.1
Wayne County,NY,2018,"43,877","42,054","1,823",4.2
Westchester County,NY,2018,"484,256","465,428","18,828",3.9
Wyoming County,NY,2018,"18,093","17,255",838,4.6
Yates County,NY,2018,"11,783","11,336",447,3.8
Alamance County,NC,2018,"80,583","77,625","2,958",3.7
Alexander County,NC,2018,"18,023","17,453",570,3.2
Alleghany County,NC,2018,"4,305","4,111",194,4.5
Anson County,NC,2018,"10,407","9,942",465,4.5
Ashe County,NC,2018,"12,750","12,292",458,3.6
Avery County,NC,2018,"7,639","7,361",278,3.6
Beaufort County,NC,2018,"19,739","18,839",900,4.6
Bertie County,NC,2018,"7,832","7,445",387,4.9
Bladen County,NC,2018,"14,418","13,659",759,5.3
Brunswick County,NC,2018,"52,867","50,144","2,723",5.2
Buncombe County,NC,2018,"139,319","135,185","4,134",3
Burke County,NC,2018,"40,579","39,133","1,446",3.6
Cabarrus County,NC,2018,"106,601","102,807","3,794",3.6
Caldwell County,NC,2018,"36,595","35,193","1,402",3.8
Camden County,NC,2018,"4,650","4,477",173,3.7
Carteret County,NC,2018,"31,755","30,386","1,369",4.3
Caswell County,NC,2018,"9,820","9,391",429,4.4
Catawba County,NC,2018,"78,802","76,041","2,761",3.5
Chatham County,NC,2018,"34,637","33,479","1,158",3.3
Cherokee County,NC,2018,"11,235","10,740",495,4.4
Chowan County,NC,2018,"5,582","5,335",247,4.4
Clay County,NC,2018,"4,111","3,933",178,4.3
Cleveland County,NC,2018,"47,966","46,071","1,895",4
Columbus County,NC,2018,"22,338","21,223","1,115",5
Craven County,NC,2018,"41,528","39,784","1,744",4.2
Cumberland County,NC,2018,"127,957","121,379","6,578",5.1
Currituck County,NC,2018,"13,633","13,141",492,3.6
Dare County,NC,2018,"19,851","18,836","1,015",5.1
Davidson County,NC,2018,"80,112","77,186","2,926",3.7
Davie County,NC,2018,"20,474","19,774",700,3.4
Duplin County,NC,2018,"24,946","23,866","1,080",4.3
Durham County,NC,2018,"167,606","161,771","5,835",3.5
Edgecombe County,NC,2018,"21,741","20,271","1,470",6.8
Forsyth County,NC,2018,"186,122","179,013","7,109",3.8
Franklin County,NC,2018,"30,642","29,421","1,221",4
Gaston County,NC,2018,"109,604","105,359","4,245",3.9
Gates County,NC,2018,"5,309","5,097",212,4
Graham County,NC,2018,"3,179","2,993",186,5.9
Granville County,NC,2018,"29,943","28,929","1,014",3.4
Greene County,NC,2018,"9,558","9,190",368,3.9
Guilford County,NC,2018,"260,591","249,820","10,771",4.1
Halifax County,NC,2018,"20,243","19,014","1,229",6.1
Harnett County,NC,2018,"52,791","50,341","2,450",4.6
Haywood County,NC,2018,"29,465","28,472",993,3.4
Henderson County,NC,2018,"54,476","52,712","1,764",3.2
Hertford County,NC,2018,"9,120","8,662",458,5
Hoke County,NC,2018,"19,920","18,918","1,002",5
Hyde County,NC,2018,"2,008","1,842",166,8.3
Iredell County,NC,2018,"87,984","84,841","3,143",3.6
Jackson County,NC,2018,"19,484","18,682",802,4.1
Johnston County,NC,2018,"96,136","92,682","3,454",3.6
Jones County,NC,2018,"4,379","4,195",184,4.2
Lee County,NC,2018,"26,420","25,276","1,144",4.3
Lenoir County,NC,2018,"27,857","26,753","1,104",4
Lincoln County,NC,2018,"42,654","41,200","1,454",3.4
McDowell County,NC,2018,"21,145","20,433",712,3.4
Macon County,NC,2018,"15,316","14,717",599,3.9
Madison County,NC,2018,"10,144","9,777",367,3.6
Martin County,NC,2018,"9,295","8,832",463,5
Mecklenburg County,NC,2018,"611,673","588,987","22,686",3.7
Mitchell County,NC,2018,"6,025","5,755",270,4.5
Montgomery County,NC,2018,"11,588","11,129",459,4
Moore County,NC,2018,"41,079","39,523","1,556",3.8
Nash County,NC,2018,"43,288","41,097","2,191",5.1
New Hanover County,NC,2018,"120,980","116,493","4,487",3.7
Northampton County,NC,2018,"7,628","7,236",392,5.1
Onslow County,NC,2018,"64,341","61,301","3,040",4.7
Orange County,NC,2018,"77,797","75,263","2,534",3.3
Pamlico County,NC,2018,"5,348","5,129",219,4.1
Pasquotank County,NC,2018,"17,062","16,249",813,4.8
Pender County,NC,2018,"28,265","27,107","1,158",4.1
Perquimans County,NC,2018,"5,046","4,804",242,4.8
Person County,NC,2018,"18,261","17,513",748,4.1
Pitt County,NC,2018,"89,961","86,150","3,811",4.2
Polk County,NC,2018,"8,969","8,633",336,3.7
Randolph County,NC,2018,"66,526","64,042","2,484",3.7
Richmond County,NC,2018,"16,519","15,617",902,5.5
Robeson County,NC,2018,"49,653","46,738","2,915",5.9
Rockingham County,NC,2018,"40,499","38,670","1,829",4.5
Rowan County,NC,2018,"65,775","63,199","2,576",3.9
Rutherford County,NC,2018,"24,757","23,501","1,256",5.1
Sampson County,NC,2018,"29,207","28,039","1,168",4
Scotland County,NC,2018,"11,457","10,614",843,7.4
Stanly County,NC,2018,"29,882","28,817","1,065",3.6
Stokes County,NC,2018,"21,781","20,988",793,3.6
Surry County,NC,2018,"34,033","32,827","1,206",3.5
Swain County,NC,2018,"6,912","6,613",299,4.3
Transylvania County,NC,2018,"14,275","13,737",538,3.8
Tyrrell County,NC,2018,"1,457","1,365",92,6.3
Union County,NC,2018,"121,250","117,099","4,151",3.4
Vance County,NC,2018,"17,444","16,441","1,003",5.7
Wake County,NC,2018,"584,548","564,962","19,586",3.4
Warren County,NC,2018,"6,574","6,183",391,5.9
Washington County,NC,2018,"4,628","4,353",275,5.9
Watauga County,NC,2018,"28,832","27,832","1,000",3.5
Wayne County,NC,2018,"52,731","50,460","2,271",4.3
Wilkes County,NC,2018,"30,230","29,102","1,128",3.7
Wilson County,NC,2018,"35,342","33,175","2,167",6.1
Yadkin County,NC,2018,"17,791","17,191",600,3.4
Yancey County,NC,2018,"8,245","7,950",295,3.6
Adams County,ND,2018,"1,065","1,043",22,2.1
Barnes County,ND,2018,"5,279","5,137",142,2.7
Benson County,ND,2018,"2,300","2,211",89,3.9
Billings County,ND,2018,428,416,12,2.8
Bottineau County,ND,2018,"2,992","2,892",100,3.3
Bowman County,ND,2018,"1,647","1,616",31,1.9
Burke County,ND,2018,"1,078","1,052",26,2.4
Burleigh County,ND,2018,"49,251","47,954","1,297",2.6
Cass County,ND,2018,"100,944","98,629","2,315",2.3
Cavalier County,ND,2018,"1,971","1,920",51,2.6
Dickey County,ND,2018,"2,390","2,347",43,1.8
Divide County,ND,2018,"1,536","1,516",20,1.3
Dunn County,ND,2018,"3,021","2,972",49,1.6
Eddy County,ND,2018,"1,246","1,185",61,4.9
Emmons County,ND,2018,"1,481","1,410",71,4.8
Foster County,ND,2018,"1,605","1,563",42,2.6
Golden Valley County,ND,2018,898,880,18,2
Grand Forks County,ND,2018,"37,913","37,054",859,2.3
Grant County,ND,2018,"1,211","1,179",32,2.6
Griggs County,ND,2018,"1,060","1,036",24,2.3
Hettinger County,ND,2018,"1,395","1,367",28,2
Kidder County,ND,2018,"1,310","1,252",58,4.4
LaMoure County,ND,2018,"2,126","2,085",41,1.9
Logan County,ND,2018,896,873,23,2.6
McHenry County,ND,2018,"3,155","3,032",123,3.9
McIntosh County,ND,2018,"1,157","1,126",31,2.7
McKenzie County,ND,2018,"8,962","8,812",150,1.7
McLean County,ND,2018,"4,795","4,635",160,3.3
Mercer County,ND,2018,"3,969","3,802",167,4.2
Morton County,ND,2018,"16,169","15,641",528,3.3
Mountrail County,ND,2018,"7,078","6,966",112,1.6
Nelson County,ND,2018,"1,425","1,377",48,3.4
Oliver County,ND,2018,873,837,36,4.1
Pembina County,ND,2018,"3,375","3,242",133,3.9
Pierce County,ND,2018,"1,794","1,737",57,3.2
Ramsey County,ND,2018,"5,649","5,488",161,2.9
Ransom County,ND,2018,"2,840","2,785",55,1.9
Renville County,ND,2018,"1,227","1,197",30,2.4
Richland County,ND,2018,"8,730","8,500",230,2.6
Rolette County,ND,2018,"4,691","4,249",442,9.4
Sargent County,ND,2018,"2,538","2,490",48,1.9
Sheridan County,ND,2018,687,655,32,4.7
